pile_num,img_x_px,img_y_px,ocr_conf,angle_votes,confidence_level
1046,3366.5,3934.1,90,2,medium
1047,3388.9,3704.6,96,5,high
1048,3139.6,3727.3,95,5,high
1049,2843.1,3732.9,94,5,high
1050,3073.9,4280.2,82,3,medium
1051,3314.0,3962.6,53,2,medium
1052,3283.3,3787.9,69,1,low
1053,2738.0,4235.9,77,2,medium
1054,2856.7,3705.4,70,3,medium
1055,3063.3,4285.3,93,3,medium
1056,3202.1,4036.6,92,4,medium
1058,2773.8,3743.1,93,3,medium
1059,2580.2,3797.9,94,5,high
1060,2990.4,4327.6,95,3,medium
1061,2992.3,4163.9,93,4,medium
1062,3023.9,3976.2,95,6,high
1063,2661.6,3953.8,94,3,medium
1064,2585.4,3814.7,86,2,medium
1065,2933.6,4349.1,89,3,medium
1066,2950.3,4205.5,96,3,medium
1067,2991.4,3999.7,96,9,high
1068,2427.3,3976.4,93,3,medium
1070,2695.6,4467.0,93,2,medium
1071,2830.3,4287.4,94,3,medium
1072,2299.7,4202.8,67,1,low
1073,2368.0,4060.4,96,4,medium
1074,2153.2,3897.2,96,4,medium
1075,2867.9,4471.6,95,1,low
1076,2478.1,4440.0,96,6,high
1077,2115.8,4229.5,88,2,medium
1078,2433.1,4115.6,96,4,medium
1079,2019.6,3926.9,96,4,medium
1080,2056.1,4561.2,90,3,medium
1081,2132.4,4516.2,94,7,high
1082,2290.7,4344.7,96,4,medium
1083,2026.4,4173.9,96,5,high
1084,2282.4,4053.5,95,4,medium
1085,2813.2,4407.6,94,3,medium
1086,2637.5,4474.7,95,4,medium
1087,2592.7,4126.8,89,8,high
1088,2618.3,3883.9,91,8,high
1089,2347.5,4139.1,93,3,medium
1090,2499.3,4715.8,96,2,medium
1092,2323.1,4465.8,93,2,medium
1093,1603.0,4145.0,96,2,medium
1094,1617.6,4022.6,95,4,medium
1095,2603.5,1018.2,77,1,low
1096,2560.2,1226.5,92,3,medium
1097,1285.0,4104.5,96,4,medium
1098,3679.2,3686.4,86,2,medium
1099,1218.3,3806.2,93,4,medium
