name,easting_m,northing_m,working_platform_level_m,diameter_m,total_length_m,zone_name,,,,,,
CMC-51,502947.96,2443920.009,6.25,0.6,16,Boundary Wall,,,,,,
CMC-52,502946.965,2443921.745,6.25,0.6,16,Boundary Wall,,,,,,
CMC-53,502945.971,2443923.48,6.25,0.6,16,Boundary Wall,,,,,,
CMC-54,502944.976,2443925.215,6.25,0.6,16,Boundary Wall,,,,,,
CMC-55,502943.982,2443926.951,6.25,0.6,16,Boundary Wall,,,,,,
CMC-56,502942.987,2443928.686,6.25,0.6,16,Boundary Wall,,,,,,
CMC-57,502941.993,2443930.421,6.25,0.6,16,Boundary Wall,,,,,,
CMC-58,502940.998,2443932.157,6.25,0.6,16,Boundary Wall,,,,,,
CMC-59,502940.004,2443933.892,6.25,0.6,16,Boundary Wall,,,,,,
CMC-60,502939.01,2443935.627,6.25,0.6,16,Boundary Wall,,,,,,
CMC-61,502938.015,2443937.363,6.25,0.6,16,Boundary Wall,,,,,,
CMC-62,502937.021,2443939.098,6.25,0.6,16,Boundary Wall,,,,,,
CMC-63,502967.596,2443889.767,6.25,0.6,16,Boundary Wall,,,,,,
CMC-64,502966.601,2443891.502,6.25,0.6,16,Boundary Wall,,,,,,
CMC-65,502965.607,2443893.238,6.25,0.6,16,Boundary Wall,,,,,,
CMC-66,502964.612,2443894.973,6.25,0.6,16,Boundary Wall,,,,,,
CMC-67,502963.618,2443896.709,6.25,0.6,16,Boundary Wall,,,,,,
CMC-68,502962.623,2443898.444,6.25,0.6,16,Boundary Wall,,,,,,
CMC-69,502961.629,2443900.179,6.25,0.6,16,Boundary Wall,,,,,,
CMC-70,502960.634,2443901.915,6.25,0.6,16,Boundary Wall,,,,,,
CMC-71,502959.64,2443903.65,6.25,0.6,16,Boundary Wall,,,,,,
CMC-72,502958.645,2443905.385,6.25,0.6,16,Boundary Wall,,,,,,
CMC-73,502957.651,2443907.121,6.25,0.6,16,Boundary Wall,,,,,,
CMC-74,502956.657,2443908.856,6.25,0.6,16,Boundary Wall,,,,,,
CMC-75,502955.662,2443910.592,6.25,0.6,16,Boundary Wall,,,,,,
CMC-76,502954.668,2443912.327,6.25,0.6,16,Boundary Wall,,,,,,
CMC-77,502953.673,2443914.062,6.25,0.6,16,Boundary Wall,,,,,,
CMC-78,502952.679,2443915.798,6.25,0.6,16,Boundary Wall,,,,,,
CMC-79,502951.684,2443917.533,6.25,0.6,16,Boundary Wall,,,,,,
CMC-80,502950.69,2443919.268,6.25,0.6,16,Boundary Wall,,,,,,
CMC-81,502949.695,2443921.004,6.25,0.6,16,Boundary Wall,,,,,,
CMC-82,502948.701,2443922.739,6.25,0.6,16,Boundary Wall,,,,,,
CMC-83,502947.706,2443924.474,6.25,0.6,16,Boundary Wall,,,,,,
CMC-84,502946.712,2443926.21,6.25,0.6,16,Boundary Wall,,,,,,
CMC-85,502945.717,2443927.945,6.25,0.6,16,Boundary Wall,,,,,,
